judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
Rumah Mewah Termurah dekat Stasiun Parung panjang dan Tol Baru,"Parung Panjang, Bogor",581 Juta,60,31,2,1,1,Rian  Ariansyah,15 Agustus 2022
"Ruumah di Sentul City, Bogor","Sentul City, Bogor","1,1 Miliar",150,63,2,1,1,Susy Oktavia,15 Agustus 2022
"Rumah di Sentul City, Bogor","Sentul City, Bogor","1,25 Miliar",144,88,3,2,1,Susy Oktavia,15 Agustus 2022
"Rumah 2 Lantai SHM di Sentul City , Bogor","Sentul City, Bogor",5 Miliar,498,400,4,4,2,Susy Oktavia,15 Agustus 2022
"Di Jual Villa Full Furnished Baru, Bersih, Modern di Megamendung","Megamendung, Bogor","5,5 Miliar",776,400,4,3,7,WahyudiPrasetyo Nurdin,08 Agustus 2022
"Rumah Cibubur Country, Cfcr 8, bagus Sekali","Gunung Putri, Bogor","1,75 Miliar",200,90,3,2,1,Anggita,08 Agustus 2022
"Rumah di Sentul City, Bogor","Sentul City, Bogor","3,9 Miliar",329,275,3,5,2,Susy Oktavia,29 Agustus 2022
"Rumah Type Minimalis di Sentul City, Bogor","Sentul City, Bogor","1,25 Miliar",144,88,3,2,2,Susy Oktavia,29 Agustus 2022
"Rumah 2 Lantai di Sentul City, Bogor","Sentul City, Bogor",5 Miliar,396,299,4,3,2,Susy Oktavia,29 Agustus 2022
Rumah Murah dkt Stasiun Bojonggede CCM Siap Huni TURUN HARGA,"Bojong Gede, Bogor",299 Juta,61,48,2,1,,Hendra Njoo,29 Agustus 2022
Jual Rmh Villa Lux. Bgs Utk Usaha Resto Dg Spot2 Cantik Krn Lokasi Mudah Strategis. Usaha Foodpedia Cocok,"Ciawi, Bogor","9,5 Miliar",2616,400,5,5,15,Dian S  Budiman Budiman,22 Agustus 2022
Di  Cepat Rumah Di Kota Wisata Cluster Amsterdam,"Kota Wisata, Bogor","2,9 Miliar",375,244,5,1,2,ST Nur Hasmawati,22 Agustus 2022
Rumah cantik.harga ok bngat Kota Wisata Cibubur,"Kota Wisata, Bogor","2,5 Miliar",241,214,4,4,2,Linda Limar Property,22 Agustus 2022
"Cepat Rumah Siap Huni Dalam Kondisi Baru , 2 Lantai , di Sentul City , Sertifikat Hak Milik , Di Utamakan Bagi Yang Berminat Secara Serius","Sentul City, Bogor","5,5 Miliar",312,300,4,4,,NITA ANG,22 Agustus 2022
"Cepat Rumah Bagus Dengan Halaman Luas, di Klaster Terdepan , Dekat Dengan Pintu Tol Sentul City Dan Pusat Bisnis, Harga Cocok Untuk Investor , Kepemilikan Sertifikat Hak Milik, Unfurnished","Sentul City, Bogor","4,25 Miliar",621,135,2,1,,NITA ANG,21 Agustus 2022
Rumah 90m Sudah Rame,"Jonggol, Bogor",325 Juta,90,65,2,1,1,Lenny wulandari,21 Agustus 2022
"Perumahan Pesona Cilebut 2, Sudah Renovasi, SHM","Cilebut, Bogor",500 Juta,72,36,2,1,1,KUSUMA Wati,15 Agustus 2022
Northridge Golf Sentul City,"Sentul, Bogor",79 Miliar,7650,2250,7,6,,O C A S A Official property perfected,15 Agustus 2022
Di  Villa Mewah American Classic Di Sentul Bogor,"Sentul, Bogor",130 Miliar,17000,2500,5,6,30,O C A S A Official property perfected,15 Agustus 2022
Di jual rumah di di Lokasi deket ke Kantor Polsek pasar,"Leuwiliang, Bogor",260 Juta,103,80,2,2,,Dana Wirasakti sakti,15 Agustus 2022
"Rumah Mininmalis Siap Huni SHM di Sentul City, Bogor","Sentul City, Bogor","1,15 Miliar",90,150,3,2,1,Agung Hidayah,14 Agustus 2022
Rumah 2 Lantai Furnished SHM,"Sentul, Bogor","15,5 Miliar",1153,500,4,4,4,Tyo Noegroho,08 Agustus 2022
MURAH Vila 4700M2 Hanya 5 menit Dari Jalan Raya Puncak Cisarua Hub: 0817 0120 620,"Cisarua, Bogor","7,2 Miliar",4705,2000,9,9,15,Ita Tan,08 Agustus 2022
Cluster sejuk dan asri deket mall metropolitan cileungsi,"Cileungsi, Bogor",350 Juta,60,32,2,1,1,Wiwin Yustika,20 Agustus 2022
Rumah Asri di Taman Yasmin Sektor 7 Kota Bogor,"Cilendek Timur, Bogor",1 Miliar,129,100,3,2,2,Erwin Burhanudin,06 Agustus 2022
Rumah Industrial Murah di Selatan Serpong,"Gunung Sindur, Bogor",240 Juta,60,30,2,1,1,Adi P,27 Agustus 2022
Rumah Asri Siap Huni di Taman Yasmin Bogor,"Cilendek, Bogor","1,85 Miliar",247,175,3,2,2,Erwin Burhanudin,27 Agustus 2022
Rumah Bagus Murah Dekat Ke Pintu Tol Jatiasih Dan Kota Wisata,"Bojong Kulur, Bogor",895 Juta,105,65,3,2,,Henri Lighthouse,27 Agustus 2022
Rumah 2lantai hook murah depan taman di Perumahan bukit dago serpong,"Gunung Sindur, Bogor","2,3 Miliar",150,210,3,2,2,Dewi Suciati,26 Agustus 2022
"Rumah 2 Lantai, DP 6 jutaan di Bukit Dago.Serpong","Gunung Sindur, Bogor",997 Juta,90,59,2,2,,Dewi Suciati,26 Agustus 2022
Griya Pratama Asri 2. Hunian Minimais di Lingkungan Asri.,"Tajur Halang, Bogor",441 Juta,76,40,2,1,1,HAIKAL SETYA NUGRAHA,20 Agustus 2022
"Vimala Hills,Villa Sangat Cantik & Mewah Furnished","Megamendung, Bogor","3,75 Miliar",360,220,2,2,,Muhammad Rifqi,20 Agustus 2022
Rumah Di Kota Wisata Cibubur Cluster Ontario Full Renovasi,"Kota Wisata, Bogor","1,53 Miliar",120,200,3,2,2,Bang JHON,19 Agustus 2022
"Rumah 2 lantai view Gunung lokasi Strategis di kota Bogor, SHM","Rancamaya, Bogor",978 Juta,84,43,2,1,1,Ewin Edgar Alvaro,19 Agustus 2022
Rumah Taman Hadap Selatan di Sierra Madre,"Sentul City, Bogor","3,2 Miliar",400,135,3,2,2,Rini Haryati,19 Agustus 2022
Rumah 2 Lantai SHM full furnished di Sentul City Bogor,"Sentul City, Bogor","6,5 Miliar",504,800,4,5,1,Pajar Mitra,13 Agustus 2022
Rumah Strategis di Pasir Kuda Dekat Stasiun Bogor,"Pasirmulya, Bogor",690 Juta,140,100,4,3,1,Erwin Burhanudin,13 Agustus 2022
Di jual cepat rumah di pamoyanan Bogor rumah sangat terawat,"Pamoyanan, Bogor","2,2 Miliar",807,707,8,6,2,Dana Wirasakti sakti,13 Agustus 2022
Rumah murah rapih di sentul City,"Sentul City, Bogor",550 Juta,90,80,2,1,1,Jenny Fransiska,12 Agustus 2022
Rumah Bagus siap huni di Sentul City,"Sentul City, Bogor","4,6 Miliar",312,243,4,4,,Medy Sianturi,06 Agustus 2022
Rumah Bagus Cocok Untuk Kost Strategis di Gunung Batu Kota Bogor,"Gunung Batu, Bogor",900 Juta,247,247,4,6,,Erwin Burhanudin,06 Agustus 2022
Villa Sejuk Kebun Durian Cijeruk Bogor,"Cijeruk, Bogor","5,1 Miliar",9000,400,8,3,4,Prayitno Property,05 Agustus 2022
Rumah dua lantai di cluster teduh dekat tol dan dekat dengan istana Bogor,"Tegallega, Bogor","9,5 Miliar",1032,850,6,5,2,Jenny Fransiska,05 Agustus 2022
Rumah baru renovasi disentul city,"Sentul City, Bogor",650 Juta,90,100,2,2,,Jenny Fransiska,05 Agustus 2022
